status,full_url_length,hostname_length,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,full_url_digit_ratio,hostname_digit_ratio,abnormal_domain,random_domain,prefix_suffix,common_terms,punycode,word_count,repeatead_characters,TLD,length_param,email_in_url,dom_in_ip,num_vowels_dom
1,57,38,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.017543859649122806,0.02631578947368421,0,0,0,0,0,7,1,1,10,0,0,16
0,32,12,1,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,6,1,1,0,0,0,7
1,46,25,2,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,7,1,1,0,0,0,13
0,37,16,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,6,1,1,7,0,0,12
1,36,29,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.027777777777777776,0.034482758620689655,0,0,0,0,0,4,1,1,0,0,0,9
1,52,18,2,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0.038461538461538464,0.0,0,0,0,0,0,9,1,1,9,0,0,11
1,32,24,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.25,0.3333333333333333,0,0,0,0,0,5,1,1,0,0,0,4
0,34,11,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,4,1,1,14,0,0,7
0,27,19,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,6,1,1,0,0,0,6
1,92,22,2,1,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0.30434782608695654,0.0,0,0,0,0,0,11,1,1,0,0,0,15
0,102,12,2,7,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0.058823529411764705,0.0,1,0,0,1,0,16,1,1,0,0,0,24
0,32,23,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,5,1,1,0,0,0,6
0,29,20,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,5,1,1,0,0,0,5
1,119,24,4,1,0,1,0,0,0,2,0,0,9,0,1,0,0,0,0,0.008403361344537815,0.0,0,0,0,0,0,15,1,1,10,0,0,34
0,59,21,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.06779661016949153,0.0,1,0,0,1,0,8,1,1,4,0,0,14
0,54,19,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,7,1,1,27,0,0,13
1,151,10,3,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.271523178807947,0.0,0,0,0,0,0,8,1,1,133,1,0,31
0,84,25,3,5,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.03571428571428571,0.0,1,0,0,1,0,13,1,1,39,0,0,22
1,55,10,3,1,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,10,1,1,9,0,0,13
0,18,9,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,4,1,1,0,0,0,2
0,39,16,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,5,1,1,14,0,0,10
0,28,19,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,1,1,0,6,1,1,0,0,0,5
0,32,16,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,1,1,0,7,1,1,8,0,0,3
0,16,9,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,1,0,0,0,2
1,23,12,1,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,5,1,1,0,0,0,4
0,29,21,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,6,1,1,0,0,0,8
1,29,20,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,5,1,1,0,0,0,5
0,41,15,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,6,1,1,11,0,0,7
1,22,6,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.18181818181818182,0.0,0,0,0,0,0,4,1,1,7,0,0,2
1,52,14,3,0,0,0,0,0,0,0,0,1,5,0,1,0,0,0,1,0.038461538461538464,0.0,1,0,0,1,0,9,1,1,12,0,0,12
1,38,20,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.02631578947368421,0.0,1,0,0,0,0,8,1,1,0,0,0,8
0,30,21,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,6,1,1,0,0,0,5
1,76,50,4,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.10526315789473684,0.0,0,0,1,0,0,9,1,1,15,0,0,21
1,430,13,24,0,1,2,9,0,10,18,0,0,21,0,5,0,9,0,0,0.03953488372093023,0.7692307692307693,0,0,0,0,0,70,1,0,6,0,1,113
0,37,19,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,5,1,1,10,0,0,11
0,73,23,3,5,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0684931506849315,0.0,0,0,0,0,0,11,1,1,42,0,0,17
1,56,15,2,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,3,0.10714285714285714,0.0,1,0,0,0,0,10,1,1,0,0,0,12
0,70,13,1,7,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,13,1,1,39,0,0,19
1,70,20,3,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,8,1,1,18,0,0,18
0,52,19,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.07692307692307693,0.0,1,0,0,1,0,8,1,1,4,0,0,12
0,31,22,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,1,1,0,6,1,1,0,0,0,7
1,90,19,4,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.24444444444444444,0.0,1,0,0,1,0,10,1,1,32,0,0,20
0,45,15,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.15555555555555556,0.0,0,0,0,0,0,8,1,1,7,0,0,10
0,55,20,3,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0.03636363636363636,0.05,1,0,0,1,0,7,1,1,21,0,0,12
1,65,12,3,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.07692307692307693,0.16666666666666666,1,0,0,1,0,11,1,1,0,0,0,17
1,41,33,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.07317073170731707,0.09090909090909091,0,0,1,0,0,6,1,1,0,0,0,11
1,71,25,2,1,0,1,0,0,1,1,0,0,4,0,1,0,0,0,0,0.16901408450704225,0.0,0,0,1,0,0,9,1,1,11,0,0,19
1,83,16,2,0,0,1,0,0,1,0,0,0,7,0,1,0,0,0,0,0.07228915662650602,0.0,0,0,0,0,0,11,1,1,4,0,0,19
1,73,18,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.3424657534246575,0.0,0,0,0,0,0,7,1,1,0,0,0,16
1,44,30,2,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.20454545454545456,0.1,0,1,1,0,0,7,1,1,6,0,0,6
1,114,16,4,1,0,1,0,0,1,0,0,0,8,0,2,0,0,0,0,0.05263157894736842,0.0,1,0,0,1,0,14,1,1,8,0,0,26
1,127,50,4,1,0,1,2,0,3,2,0,0,4,0,1,0,0,0,0,0.15748031496062992,0.0,0,0,1,0,0,15,1,1,15,0,0,29
1,99,20,4,0,1,1,0,0,1,0,0,0,4,0,1,0,0,0,0,0.0707070707070707,0.0,0,0,0,0,0,11,1,1,3,1,0,16
1,56,20,2,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0.0,0.0,1,0,1,1,0,10,1,1,0,0,0,13
0,51,17,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,7,1,1,17,0,0,14
1,51,14,5,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,9,1,1,21,0,0,17
0,40,24,2,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,1,0,1,0,0,8,1,1,0,0,0,8
1,33,14,3,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,9,1,1,0,0,0,3
0,88,20,2,5,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,13,1,1,0,0,0,24
0,122,18,2,0,0,0,0,0,0,13,0,0,5,0,1,0,0,0,0,0.04918032786885246,0.0,1,0,0,1,0,7,1,1,82,0,0,42
0,53,20,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,7,1,1,14,0,0,16
1,46,37,6,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.08695652173913043,0.10810810810810811,0,1,1,0,0,10,1,1,0,0,0,9
1,36,29,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,4,1,1,0,0,0,9
0,31,23,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,5,1,1,0,0,0,7
0,48,16,2,2,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,10,1,1,0,0,0,8
1,101,6,2,0,0,1,2,0,3,0,0,0,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,13,1,1,23,0,0,34
0,41,19,3,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,7,1,1,7,0,0,10
1,43,35,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.09302325581395349,0.11428571428571428,0,1,0,0,0,7,1,1,0,0,0,9
0,15,8,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,1,0,0,0,2
0,42,10,3,3,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.07142857142857142,0.0,1,0,0,0,0,9,1,1,24,0,0,6
0,51,15,1,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,8,1,1,0,0,0,14
1,48,27,3,3,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,1,1,0,10,1,1,8,0,0,10
0,49,19,1,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,6,1,1,0,0,0,14
1,25,13,1,1,0,1,0,0,1,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,6,1,1,0,0,0,5
0,49,15,2,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.02040816326530612,0.0,1,0,0,1,0,9,1,1,20,0,0,10
0,48,25,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.020833333333333332,0.0,0,0,0,0,0,7,1,1,15,0,0,10
1,108,25,4,1,1,1,0,0,0,0,0,1,6,0,1,0,0,0,0,0.037037037037037035,0.0,1,0,0,1,0,14,1,1,9,1,0,31
1,39,20,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,5,1,1,10,0,0,9
0,80,20,4,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,12,1,1,31,0,0,17
0,36,17,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,6,1,1,11,0,0,6
0,28,19,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,1,0,0,6,1,1,0,0,0,3
1,33,14,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.06060606060606061,0.0,0,0,0,0,0,5,1,1,10,0,0,5
0,23,14,3,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,6,1,1,0,0,0,2
0,77,18,2,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,11,1,1,41,0,0,21
1,342,19,5,6,1,0,5,0,4,0,0,8,5,0,1,0,2,0,1,0.4152046783625731,0.0,1,0,0,1,0,35,1,1,35,1,0,48
1,38,29,2,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.13157894736842105,0.1724137931034483,0,1,1,0,0,6,1,1,0,0,0,8
0,73,22,2,5,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,11,1,1,35,0,0,21
0,33,15,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,6,1,1,4,0,0,8
1,67,17,3,1,0,0,0,0,0,1,0,0,6,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,10,1,1,13,0,0,11
0,39,18,2,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.05128205128205128,0.0,0,0,0,0,0,6,1,1,2,0,0,9
0,24,15,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,5,1,1,0,0,0,4
0,26,17,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,0,0,0,5,1,1,0,0,0,3
0,39,7,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0.1282051282051282,0.0,0,0,0,0,0,8,1,1,10,0,0,3
1,62,22,3,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.3548387096774194,0.0,1,0,1,0,0,7,1,1,32,0,0,12
1,41,13,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,7,1,1,13,0,0,10
1,40,31,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,5,1,1,0,0,0,10
0,51,26,3,2,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,1,0,1,1,0,8,1,1,17,0,0,11
0,59,12,2,3,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.06779661016949153,0.0,1,0,0,0,0,10,1,1,26,0,0,12
0,50,20,3,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,8,1,1,12,0,0,11
1,52,25,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.057692307692307696,0.04,0,0,1,0,0,7,1,1,0,0,0,15
1,43,15,2,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,7,1,1,9,0,0,12
1,94,42,3,4,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0.1276595744680851,0.07142857142857142,0,0,0,0,0,12,1,1,36,0,0,24
0,60,15,4,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.0,0.0,1,0,0,1,0,8,1,1,33,0,0,16
0,18,11,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0.0,0.0,0,0,0,0,0,3,1,1,0,0,0,3
1,204,27,2,1,0,1,0,0,2,3,0,0,5,0,1,0,0,0,0,0.1323529411764706,0.0,0,0,0,0,0,11,1,1,8,0,0,39
1,94,24,7,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0.1595744680851064,0.0,0,0,0,0,0,13,1,1,10,1,0,20
1,41,33,4,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.0,0.0,0,0,1,0,0,8,1,1,0,0,0,10
1,19,11,2,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0.15789473684210525,0.2727272727272727,0,0,0,0,0,5,1,1,0,0,0,1
